tier,s1,s2,text,text_full,match,group_num,occ_num
underlying_sancara,81.2,84.3,mgpdssnd,mgpdssnd,no match,,
underlying_full_phrase,84.3,87.7,drsrsndpmgrsrg,grsndrsndpmgrsgr,no match,,
underlying_sancara,85.5,87.7,sndpmgrsrg,rsndpmgrsrg,no match,,
underlying_full_phrase,87.7,91.3,pdsppddpmgrmgr,pdsppddpmgrmgr,match,4.0,2.0
underlying_sancara,88.9,91.3,pddpmgrmgr,pddpmgrmgr,no match,,
underlying_sancara,91.3,103.5,srgrgp,srgrgpgp,no match,,
underlying_sancara,119.9,123.3,dsssnndds,dsssnndds,match,6.0,3.0
underlying_full_phrase,119.9,126.8,dsssnnddsdsdsrgs,dsssnnddsdsdsrgs,no match,,
underlying_sancara,123.3,126.8,dsdsrgs,dsdsrgs,no match,,
underlying_sancara,126.8,129.8,dsssnndds,dsssnndds,match,6.0,4.0
underlying_full_phrase,126.8,133.1,dsssnnddsdsdsrgs,dsssnnddsdsdsrgs,no match,,
underlying_sancara,129.9,133.1,dsdsrgs,dsdsrgs,no match,,
underlying_sancara,133.2,136.6,dsssnndds,dsssndpmgrgpds,match,15.0,0.0
underlying_full_phrase,133.2,139.8,dsssnnddsdsdsrgs,dsssndpmgrgpdsddsrgpmmgrrgs,no match,,
underlying_sancara,136.6,139.8,dsdsrgs,ddsrgpmmgrrgs,no match,,
underlying_sancara,139.8,143.2,dsssnndds,dsssndpmgrgpds,match,15.0,1.0
underlying_full_phrase,139.8,146.3,dsssnnddsdsdsrgs,dsssndpmgrgpdsddsrgpmmgrrgs,no match,,
underlying_sancara,143.2,146.3,dsdsrgs,ddsrgpmmgrrgs,no match,,
underlying_sancara,146.3,150.0,ddgrssndpd,ddgrssndpd,match,1.0,4.0
underlying_full_phrase,146.3,153.2,ddgrssndpdpppddpmgrggr,ddgrssndpdpppddpmgrggr,no match,,
underlying_sancara,150.1,153.2,pppddpmgrggr,pppddpmgrggr,match,5.0,4.0
underlying_sancara,153.2,156.6,ddgrssndpd,ddgrsrsndpd,match,1.0,5.0
underlying_full_phrase,153.2,159.7,ddgrssndpdpppddpmgrggr,ddgrsrsndpdgpppddpmgrggr,no match,,
underlying_sancara,156.6,159.7,pppddpmgrggr,gpppddpmgrggr,match,4.0,11.0
underlying_sancara,159.8,162.9,ddgrssndpd,ddgrdrsndpd,match,1.0,7.0
underlying_full_phrase,159.8,166.3,ddgrssndpdpppddpmgrggr,ddgrdrsndpddgpdssndpmgr,no match,,
underlying_sancara,163.0,166.3,pppddpmgrggr,dgpdssndpmgr,match,5.0,2.0
underlying_sancara,166.3,169.6,ddgrssndpd,ddgrdrsndpd,match,1.0,6.0
underlying_full_phrase,166.3,172.8,ddgrssndpdpppddpmgrggr,ddgrdrsndpddgpdgrsndpmgr,no match,,
underlying_sancara,169.6,172.8,pppddpmgrggr,dgpdgrsndpmgr,match,37.0,0.0
underlying_full_phrase,172.8,177.8,gpmgpmgrsndrs,gpmgpmgrsndrs,match,13.0,0.0
underlying_sancara,174.2,177.8,pmgrsndrs,pmgrsndrs,match,13.0,0.0
underlying_full_phrase,179.3,183.8,gpmgpmgrsndrs,gpmgpmgrsndrs,match,13.0,1.0
underlying_sancara,180.7,183.8,pmgrsndrs,pmgrsndrs,match,13.0,1.0
underlying_full_phrase,183.8,186.0,dsrgpdpmgr,dsrgpdpmgr,no match,,
underlying_full_phrase,186.0,190.3,gpmgpmgrsndrs,gpdpmgdppmmgrsndrs,no match,,
underlying_sancara,187.5,190.3,pmgrsndrs,dppmmgrsndrs,match,14.0,1.0
underlying_full_phrase,190.4,192.6,dsrgpdpmgr,dsrgpdpmgr,no match,,
underlying_full_phrase,192.6,195.6,srgpdsndpdrsnd,srgpdsndpdrsnd,no match,,
underlying_full_phrase,195.6,198.3,grsndpmgrsnd,grsndpmgrsnd,no match,,
underlying_full_phrase,198.3,202.2,pmgrsrgpmgrsrgp,pmgrsrgpmgrsrgp,no match,,
underlying_sancara,199.5,202.2,gpmgrsrgp,gpmgrsrgp,no match,,
underlying_sancara,202.2,205.1,gpdrsndpdsr,gpdrsndpdsr,match,20.0,0.0
underlying_sancara,205.1,208.4,rgpgpdsrgg,rgpgpdsrgg,no match,,
underlying_full_phrase,205.1,210.1,rgpgpdsrgggrsndrr,rgpgpdsrgggrsndrr,match,33.0,2.0
underlying_full_phrase,210.1,212.8,grsndsrgsrg,grsndsrgsrg,match,2.0,8.0
underlying_full_phrase,212.8,216.3,pdsppddpmgrmgr,pdgrsndpmgrmgr,match,4.0,9.0
underlying_sancara,214.1,216.3,pddpmgrmgr,sndpmgrmgr,no match,,
underlying_sancara,216.3,219.3,srgrgp,srgmggrrgp,match,39.0,0.0
underlying_sancara,219.3,222.6,mgpdssnd,dpmgpdssnd,no match,,
underlying_full_phrase,222.6,225.8,drsrsndpmgrsrg,grsndrsndpmgrsrg,no match,,
underlying_sancara,223.6,225.8,sndpmgrsrg,rsndpmgrsrg,no match,,
underlying_full_phrase,225.8,229.3,pdsppddpmgrmgr,pdsppddpmgrmgr,match,4.0,6.0
underlying_sancara,227.0,229.4,pddpmgrmgr,pddpmgrmgr,no match,,
underlying_sancara,229.4,236.7,srgrgp,srgrgpgp,match,10.0,0.0
underlying_sancara,239.1,242.3,pdmmmmgr,pdmmmmgr,match,25.0,0.0
underlying_full_phrase,239.1,245.5,pdmmmmgrrgdpmgrssnd,pdmmmmgrrgdpmgrssnd,no match,,
underlying_sancara,242.3,245.5,rgdpmgrssnd,rgdpmgrssnd,match,42.0,0.0
underlying_sancara,245.6,248.9,pdmmmmgr,pdmmmmgr,match,25.0,2.0
underlying_full_phrase,245.6,252.2,pdmmmmgrrgdpmgrssnd,pdmmmmgrrgdpmgrssnd,no match,,
underlying_sancara,249.0,252.2,rgdpmgrssnd,rgdpmgrssnd,match,42.0,1.0
underlying_sancara,252.2,255.7,pdmmmmgr,psdmmgpmmmgr,match,25.0,1.0
underlying_full_phrase,252.2,258.7,pdmmmmgrrgdpmgrssnd,psdmmgpmmmgrrgdpmgsrgpmgrsnd,no match,,
underlying_sancara,255.7,258.7,rgdpmgrssnd,rgdpmgsrgpmgrsnd,no match,,
underlying_sancara,258.7,261.8,ssndsrg,ssndsrg,no match,,
underlying_full_phrase,258.7,265.7,ssndsrgpdsnp,ssndsrgpdsnp,no match,,
underlying_sancara,261.8,265.7,pdsnp,pdsnp,no match,,
underlying_sancara,265.7,268.7,pdmmmmgr,psdmmgpmmmgr,no match,,
underlying_full_phrase,265.7,271.7,pdmmmmgrrgdpmgrssnd,psdmmgpmmmgrrgdpmgsrgpmgrsnd,match,2.0,1.0
underlying_sancara,268.7,271.7,rgdpmgrssnd,rgdpmgsrgpmgrsnd,no match,,
underlying_sancara,271.7,275.0,ssndsrg,ssndsrg,no match,,
underlying_full_phrase,271.7,277.9,ssndsrgpdsnp,ssndsrgpdrsnp,no match,,
underlying_sancara,275.0,277.9,pdsnp,pdrsnp,no match,,
underlying_sancara,278.6,285.0,ssssnndds,ssssnndds,no match,,
underlying_sancara,285.9,289.2,dsrgpmmgrgrgrsnd,dsrgpmmgrgrgrsnd,no match,,
underlying_sancara,296.3,304.3,gpddsds,gpddsds,no match,,
underlying_sancara,304.4,307.5,ssssnndds,ssssnndds,match,6.0,2.0
underlying_full_phrase,304.4,311.0,ssssnnddsdsrgs,ssssnnddsdsrgs,no match,,
underlying_sancara,307.6,311.0,dsrgs,dsrgs,match,45.0,0.0
underlying_sancara,311.0,314.0,ssssnndds,dsssnndds,match,6.0,1.0
underlying_full_phrase,311.0,317.6,ssssnnddsdsrgs,dsssnnddsdsrgs,no match,,
underlying_sancara,314.1,317.6,dsrgs,dsrgs,no match,,
underlying_sancara,317.6,320.9,ssssnndds,dsssndpmgrgpsds,no match,,
underlying_full_phrase,317.6,323.9,ssssnnddsdsrgs,dsssndpmgrgpsdsdsrgpmmgrgs,no match,,
underlying_sancara,320.9,323.9,dsrgs,dsrgpmmgrgs,match,22.0,0.0
underlying_sancara,324.0,327.5,ssssnndds,dsssndpmgrgpsds,no match,,
underlying_full_phrase,324.0,330.4,ssssnnddsdsrgs,dsssndpmgrgpsdsdsrgpmmgrgs,no match,,
underlying_sancara,327.5,330.4,dsrgs,dsrgpmmgrgs,match,22.0,1.0
underlying_sancara,330.4,333.7,dgrsrsndpd,dgrsrsndpd,match,1.0,2.0
underlying_full_phrase,330.4,337.0,dgrsrsndpdppppddpmgrggr,dgrsrsndpdppppddpmgrggr,no match,,
underlying_sancara,333.9,337.0,ppppddpmgrggr,ppppddpmgrggr,no match,,
underlying_sancara,337.0,340.4,dgrsrsndpd,dgrsrsndpd,match,1.0,3.0
underlying_full_phrase,337.0,343.7,dgrsrsndpdppppddpmgrggr,dgrsrsndpdppppddpmgrggr,no match,,
underlying_sancara,340.5,343.7,ppppddpmgrggr,ppppddpmgrggr,match,5.0,1.0
underlying_sancara,343.7,346.9,dgrsrsndpd,dgrsrsndpd,match,1.0,1.0
underlying_full_phrase,343.7,350.2,dgrsrsndpdppppddpmgrggr,dgrsrsndpddgpdsndpmgr,no match,,
underlying_sancara,346.9,350.2,ppppddpmgrggr,dgpdsndpmgr,match,5.0,0.0
underlying_sancara,350.2,353.4,dgrsrsndpd,dgrsrsndpd,match,1.0,0.0
underlying_full_phrase,350.2,356.6,dgrsrsndpdppppddpmgrggr,dgrsrsndpddgpdgrsndpmgr,no match,,
underlying_sancara,353.4,356.6,ppppddpmgrggr,dgpdgrsndpmgr,match,37.0,1.0
underlying_full_phrase,356.6,360.9,gpmgpmgrsndrs,gpmgpmgrsndrs,match,13.0,2.0
underlying_sancara,358.0,360.9,pmgrsndrs,pmgrsndrs,match,13.0,2.0
underlying_full_phrase,360.9,363.1,dsrgpdpmgr,dsrgpdpmgr,no match,,
underlying_full_phrase,363.1,366.0,srgpdsndpdrsnd,srgpdsndpdrsnd,no match,,
underlying_full_phrase,366.0,368.6,grsndpmgrsnd,grsndpmgrsnd,no match,,
underlying_full_phrase,368.6,372.3,pmgrsrgpmgrsrgp,pmgrsrgpmgrsrgp,no match,,
underlying_sancara,369.9,372.3,gpmgrsrgp,gpmgrsrgp,no match,,
underlying_sancara,372.4,375.5,gpdrsndpdsr,gpdrsndpdsr,match,20.0,1.0
underlying_sancara,375.6,378.7,rgpgpdsrgg,rgpgpdsrgg,no match,,
underlying_full_phrase,375.6,380.5,rgpgpdsrgggrsndrr,rgpgpdsrgggrsndrr,match,33.0,3.0
underlying_full_phrase,380.5,383.0,grsndsrgsrg,grsndsrgsrg,match,2.0,9.0
underlying_full_phrase,383.0,386.5,pdsppddpmgrmgr,pdgrsndpmgrmgr,match,12.0,0.0
underlying_sancara,384.3,386.5,pddpmgrmgr,sndpmgrmgr,no match,,
underlying_sancara,386.5,389.6,srgrgp,srgmggrrgp,match,16.0,4.0
underlying_sancara,389.6,392.9,mgpdssnd,dpmgpdssnd,no match,,
underlying_full_phrase,392.9,396.0,drsrsndpmgrsrg,grsndrsndpmgrsrg,no match,,
underlying_sancara,393.9,396.0,sndpmgrsrg,rsndpmgrsrg,no match,,
underlying_full_phrase,396.0,399.7,pdsppddpmgrmgr,pdsppddpmgrmgr,match,4.0,1.0
underlying_sancara,397.4,399.7,pddpmgrmgr,pddpmgrmgr,no match,,
underlying_sancara,399.7,405.1,srgrgp,srgrgpgp,match,10.0,9.0
